epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,28328.4,1.36424,1.14925,1.38749,1,0.90401,0.95188,0.78915,1.34588,1.11251,1.35459,0.000254473,0.000254473,0.000254473
92,28619.9,1.36206,1.15355,1.38565,1,0.90383,0.95179,0.7891,1.34544,1.11159,1.35403,0.000208333,0.000208333,0.000208333
93,28912.4,1.36008,1.14477,1.38705,1,0.90375,0.95175,0.78914,1.34519,1.11087,1.35373,0.000166927,0.000166927,0.000166927
94,29205.1,1.36239,1.14857,1.38338,1,0.90375,0.95175,0.78908,1.34485,1.11006,1.35321,0.000130296,0.000130296,0.000130296
95,29497.5,1.36107,1.14201,1.38328,1,0.90405,0.9519,0.78925,1.34467,1.10944,1.35274,9.84752e-05,9.84752e-05,9.84752e-05
96,29789.8,1.35923,1.14399,1.38294,1,0.90362,0.95169,0.78924,1.3444,1.10858,1.35238,7.14967e-05,7.14967e-05,7.14967e-05
97,30084,1.35855,1.13979,1.38402,1,0.90327,0.95152,0.78915,1.34431,1.10794,1.35211,4.93871e-05,4.93871e-05,4.93871e-05
98,30379.8,1.35349,1.14307,1.38256,1,0.9037,0.95173,0.78918,1.34405,1.10737,1.35168,3.2168e-05,3.2168e-05,3.2168e-05
99,30674.5,1.36392,1.14295,1.38482,1,0.90392,0.95184,0.78919,1.3438,1.10674,1.35113,1.98565e-05,1.98565e-05,1.98565e-05
100,30970.2,1.35003,1.13449,1.37478,1,0.9041,0.95192,0.78921,1.34347,1.10633,1.35079,1.24647e-05,1.24647e-05,1.24647e-05
